##igh,7.170448303222656
shirt,7.067784070968628
##pt,6.826407750447591
.,6.813170131515054
##y,6.469846598803997
##s,6.46305962042375
##zing,6.2810360590616865
##ton,6.277368849515915
##rize,5.831439718604088
##le,5.7145476415753365
##yl,5.698223423957825
##ty,5.677979723612467
##is,5.60963836312294
##ped,5.478458124948175
-,5.474766787729766
##ier,5.435370479311262
##tension,5.434444750056548
##grin,5.427878731175473
##ergy,5.311924695968628
##tie,5.31161074963483
##hak,5.306022770129717
##dling,5.264364820260268
##fish,5.014910363421148
##n,5.014435418680603
##torm,4.966342051823934
##wear,4.956279805728367
##o,4.943338632583618
##nier,4.92719384229609
##cos,4.903040214821145
##ddling,4.870939464672752
##t,4.818543434143066
##ing,4.714821974436442
##d,4.569545575550625
##ist,4.561975462096078
##hole,4.476861287247051
##nee,3.8196012122290477
rainbow,3.6965493018261526
pop,3.572913421334132
enjoyed,3.557321598835028
fuss,3.5392396783670494
clothing,3.515607653218119
brother,3.509620958007872
complete,3.5022495449394793
pool,3.496361051064569
twin,3.4930935288900913
dogs,3.488596866549603
party,3.4832141322905286
sharks,3.4666600281542
asleep,3.464892931661643
symptoms,3.4640679069567035
sing,3.4438539365142726
listen,3.4391154065417746
preparing,3.4350077005635415
exciting,3.431538841017244
eventually,3.4250839704832248
missing,3.4180954973305666
online,3.415618838308487
perfect,3.4138334095243272
friends,3.412502593296612
right,3.4096500609136586
morning,3.403769973192666
hurt,3.400176041008048
advice,3.3965777855105044
cramped,3.393528852198073
neared,3.3883508015270074
huff,3.388277098657639
2,3.3862188969565143
astonished,3.382456619162922
backyard,3.3766317756863327
business,3.3719096073397883
need,3.365141771367884
boring,3.363784983754158
know,3.3637412257429933
cheap,3.3613502020174164
named,3.3519593444403393
hard,3.3518867811051614
final,3.3495785990300395
thinking,3.3468816060773325
large,3.3465934400405506
##ed,3.345734143836631
yard,3.3430749951134713
garbage,3.341932595628249
tied,3.340907625801792
combat,3.331705236153023
360,3.3292514171385976
restaurant,3.32896360236087
says,3.326735939667152
den,3.3242811629677127
brave,3.320109892487839
john,3.3143693692316964
grew,3.3124790602847374
buying,3.3101910508806465
start,3.3098717575144563
passing,3.3091550012717823
wants,3.3082124872183027
lap,3.307017798323119
instead,3.305169703990773
damaged,3.3049680193550306
13,3.303547883560152
shorts,3.2985429443278402
blessed,3.2884073020087197
turned,3.285454031611905
brains,3.283230943732664
looks,3.2819790125166604
sympathetic,3.278335114655731
man,3.2773103796707637
shot,3.276648501096805
minute,3.2755210972141606
nearly,3.2715627703920145
informed,3.2691109058471906
overs,3.266336838317954
charles,3.262881814545901
player,3.26257351293039
trembling,3.2605573389045874
memory,3.2561373138338876
arms,3.2514169944835634
laura,3.2501318637135217
client,3.246353545748424
accounts,3.2446198288351296
bags,3.242521223138299
maternity,3.2423750414384593
chased,3.2417734000114127
ground,3.240160297119162
garden,3.238339086086297
sad,3.2379942730036193
loved,3.2374819172073006
minutes,3.2353847662392394
wall,3.2350854216456675
sale,3.230551523280091
invited,3.2274575303901325
summer,3.22718857362686
breath,3.2265499027066484
filling,3.2260705129227647
sundays,3.2247876248110763
advance,3.2222116169120585
look,3.220151050494308
sure,3.219279794229576
pot,3.217787940089625
skin,3.2147749631094333
changed,3.208941015255478
stepmother,3.208647992913409
stuff,3.2081148869489873
bills,3.2065757793178293
pick,3.206078651408523
sandals,3.205204464243473
afternoon,3.1991497034710585
baseball,3.1986852576363494
hole,3.1977602535792227
real,3.196645971740885
tv,3.192660064926665
noticed,3.189672176631033
cheered,3.1891715877294513
luke,3.189056397852341
lying,3.1884415346264308
required,3.184468553217716
came,3.184279966486825
wanting,3.18152848534562
received,3.181114863851561
dress,3.1810265327750873
saw,3.1809634487624927
complained,3.17851079572682
avail,3.1726902185393993
tired,3.1723406925863986
competitive,3.1693053111788774
evening,3.166677635476257
pizza,3.1659700364975087
mom,3.1658025042712126
joined,3.1636743278665977
movie,3.1633911315690386
weight,3.1616544313114985
winning,3.161394769479649
outfits,3.1602799018336967
town,3.1600651488828975
tried,3.158497613005802
surprised,3.1580632827498696
neck,3.157981301652425
receive,3.157268668209852
dump,3.156400225213114
phone,3.153477287355149
pad,3.1508782370523973
thought,3.1494347084930663
stretched,3.1476449126909887
best,3.1472486183389066
returning,3.1463710419900184
late,3.14529997014762
momentum,3.144120834008963
event,3.143748783109701
tropical,3.143431815985214
cha,3.143408879011484
wife,3.1427006121456738
win,3.1425021332475023
bad,3.1398927554411267
halloween,3.1370788960015044
tasted,3.1370593404831846
finally,3.136708292205315
quickly,3.135243169433617
soft,3.135157069048702
daughter,3.133579574231143
happened,3.1312286117332273
game,3.130693527925418
days,3.127811530975763
beth,3.1271570215121263
female,3.12656195002862
swelling,3.126339557414784
hours,3.1246687828086763
handicap,3.122642199219815
traffic,3.1195369197158227
figure,3.1193852531201443
swim,3.1192268055798325
registered,3.1186600156404354
matters,3.1186499473239695
sue,3.1179670635259376
ways,3.1171151274524695
ones,3.116774787310927
fit,3.1167741363515726
walking,3.1159140275774804
casual,3.1157997746307116
attorney,3.1155291462251755
hour,3.114255473326313
claus,3.1140369869722884
prescription,3.114026985766509
work,3.113919428021541
bus,3.1134798020079106
parents,3.110858275934225
race,3.1099838777770135
defense,3.1096461550542362
fu,3.1093915419465086
rushed,3.1088192653675963
local,3.108556302919708
hyper,3.1081053791549653
waving,3.107486055736695
pulling,3.107445425757792
today,3.1067815329433
learning,3.105625596744093
office,3.1053314604147366
lately,3.1038292647901713
place,3.103808268693022
street,3.102344345797223
joking,3.1022832055097207
